source,title,company,location,city,state,lat,lon,date_posted,job_type,seniority,skills,skills_list,salary_min,salary_max,currency,url,description,sentiment
ACRA,Architectural Historian,Heritage Research Group,"Albuquerque, NM",Albuquerque,NM,35.0844,-106.6504,2025-10-16,architectural-historian,entry,Adobe InDesign (Reports);Curation Agreements;Program Evaluation (KPIs/Outcomes);State Environmental Policy Act,"[""Adobe InDesign (Reports)"", ""Curation Agreements"", ""Program Evaluation (KPIs/Outcomes)"", ""State Environmental Policy Act""]",,,,https://example.com/demo/job/1,"Architectural Historian at Heritage Research Group. Key skills include Adobe InDesign (Reports), Curation Agreements, Program Evaluation (KPIs/Outcomes), State Environmental Policy Act. This is synthetic demo data.",-0.037
AAA,Zooarchaeology Analyst,Cultural Resource Consultants,"Boston, MA",Boston,MA,42.3601,-71.0589,2025-11-01,lab/analyst,entry,Adaptive Reuse Planning;Electrical Resistivity;LiDAR;NEPA;Quality Assurance / Quality Control,"[""Adaptive Reuse Planning"", ""Electrical Resistivity"", ""LiDAR"", ""NEPA"", ""Quality Assurance / Quality Control""]",48924.0,55711.0,USD,https://example.com/demo/job/2,"Zooarchaeology Analyst at Cultural Resource Consultants. Key skills include Adaptive Reuse Planning, Electrical Resistivity, LiDAR, NEPA, Quality Assurance / Quality Control. This is synthetic demo data.",-0.128
ACRA,Historic Preservation Specialist,Western CRM Partners,"Chicago, IL",Chicago,IL,41.8781,-87.6298,2025-11-20,architectural-historian,entry,ArcGIS;Collections Environmental Monitoring;Conservation Management Plan;Cultural Sensitivity Training;Mukurtu (Community Protocol CMS);NEPA;Paleoethnobotany/Archaeobotany;Section 106;Wilderness First Aid,"[""ArcGIS"", ""Collections Environmental Monitoring"", ""Conservation Management Plan"", ""Cultural Sensitivity Training"", ""Mukurtu (Community Protocol CMS)"", ""NEPA"", ""Paleoethnobotany/Archaeobotany"", ""Section 106"", ""Wilderness First Aid""]",52299.0,61365.0,USD,https://example.com/demo/job/3,"Historic Preservation Specialist at Western CRM Partners. Key skills include ArcGIS, Collections Environmental Monitoring, Conservation Management Plan, Cultural Sensitivity Training, Mukurtu (Community Protocol CMS). This is synthetic demo data.",0.293
ACRA,Architectural Historian,ArchaeoLab Services,"Tucson, AZ",Tucson,AZ,32.2226,-110.9747,2025-11-08,architectural-historian,mid,Co-Management Agreements;Electrical Resistivity;Heritage Policy Analysis;Omeka S (Digital Exhibits),"[""Co-Management Agreements"", ""Electrical Resistivity"", ""Heritage Policy Analysis"", ""Omeka S (Digital Exhibits)""]",,,,https://example.com/demo/job/4,"Architectural Historian at ArchaeoLab Services. Key skills include Co-Management Agreements, Electrical Resistivity, Heritage Policy Analysis, Omeka S (Digital Exhibits). This is synthetic demo data.",0.226
AAA,Zooarchaeology Analyst,Preservation Strategy Studio,"Las Vegas, NV",Las Vegas,NV,36.1699,-115.1398,2026-01-16,lab/analyst,mid,Budgeting & Scheduling;Climate Adaptation for Heritage;Cost Distance / Least-Cost Path;Disaster Risk Reduction & Response;Emergency Stabilization (Historic Fabric);NRHP Evaluation Criteria;Section 106,"[""Budgeting & Scheduling"", ""Climate Adaptation for Heritage"", ""Cost Distance / Least-Cost Path"", ""Disaster Risk Reduction & Response"", ""Emergency Stabilization (Historic Fabric)"", ""NRHP Evaluation Criteria"", ""Section 106""]",56832.0,67584.0,USD,https://example.com/demo/job/5,"Zooarchaeology Analyst at Preservation Strategy Studio. Key skills include Budgeting & Scheduling, Climate Adaptation for Heritage, Cost Distance / Least-Cost Path, Disaster Risk Reduction & Response, Emergency Stabilization (Historic Fabric). This is synthetic demo data.",0.081
AAA,Architectural Historian,GeoCultural Analytics,"Denver, CO",Denver,CO,39.7392,-104.9903,2025-11-25,architectural-historian,mid,ArcGIS;Conservation Management Plan;Curation Agreements;Deaccessioning Procedures;Drone (UAV) Mapping;Intangible Cultural Heritage Safeguarding;Preventive Conservation;Programmatic Agreements (PAs),"[""ArcGIS"", ""Conservation Management Plan"", ""Curation Agreements"", ""Deaccessioning Procedures"", ""Drone (UAV) Mapping"", ""Intangible Cultural Heritage Safeguarding"", ""Preventive Conservation"", ""Programmatic Agreements (PAs)""]",74155.0,88174.0,USD,https://example.com/demo/job/6,"Architectural Historian at GeoCultural Analytics. Key skills include ArcGIS, Conservation Management Plan, Curation Agreements, Deaccessioning Procedures, Drone (UAV) Mapping. This is synthetic demo data.",-0.046
ACRA,Field Technician,Regional Heritage Associates,"Salt Lake City, UT",Salt Lake City,UT,40.7608,-111.891,2025-12-14,field-tech,lead/PI,Native American Graves Protection and Repatriation Act;Preventive Conservation & Rehousing;Resource Condition Assessment;THPO Consultation,"[""Native American Graves Protection and Repatriation Act"", ""Preventive Conservation & Rehousing"", ""Resource Condition Assessment"", ""THPO Consultation""]",120674.0,153012.0,USD,https://example.com/demo/job/7,"Field Technician at Regional Heritage Associates. Key skills include Native American Graves Protection and Repatriation Act, Preventive Conservation & Rehousing, Resource Condition Assessment, THPO Consultation. This is synthetic demo data.",0.276
AAA,Senior Architectural Historian,Frontier Cultural Resources,"Albuquerque, NM",Albuquerque,NM,35.0844,-106.6504,2025-12-24,architectural-historian,senior,ArcGIS;Co-Management Agreements;NAGPRA;OSHA HAZWOPER 40-hour,"[""ArcGIS"", ""Co-Management Agreements"", ""NAGPRA"", ""OSHA HAZWOPER 40-hour""]",,,,https://example.com/demo/job/8,"Senior Architectural Historian at Frontier Cultural Resources. Key skills include ArcGIS, Co-Management Agreements, NAGPRA, OSHA HAZWOPER 40-hour. This is synthetic demo data.",0.389
AAA,Artifact Analyst,Sagebrush Archaeology,"Atlanta, GA",Atlanta,GA,33.749,-84.388,2026-01-19,lab/analyst,mid,Community Co-Design for Interpretation;DEIA Practices in Heritage Work;FPIC (Free;NAGPRA,"[""Community Co-Design for Interpretation"", ""DEIA Practices in Heritage Work"", ""FPIC (Free"", ""NAGPRA""]",58665.0,71612.0,USD,https://example.com/demo/job/9,"Artifact Analyst at Sagebrush Archaeology. Key skills include Community Co-Design for Interpretation, DEIA Practices in Heritage Work, FPIC (Free, NAGPRA. This is synthetic demo data.",-0.032
AAA,Field Supervisor,Bay Area Preservation,"Los Angeles, CA",Los Angeles,CA,34.0522,-118.2437,2026-01-24,field-tech,entry,Burra Charter Principles;Python;Revit (BIM for Heritage);Section 106,"[""Burra Charter Principles"", ""Python"", ""Revit (BIM for Heritage)"", ""Section 106""]",51007.0,56359.0,USD,https://example.com/demo/job/10,"Field Supervisor at Bay Area Preservation. Key skills include Burra Charter Principles, Python, Revit (BIM for Heritage), Section 106. This is synthetic demo data.",0.475
